品牌,影响力,智能化,突破性,综合
百度,97.07,92.16,95.94
华为,96.21,92.47,95.00
字节跳动,96.47,91.79,94.68
腾讯,96.39,90.98,95.23
阿里巴巴,96.67,91.77,94.11
商汤科技,95.52,92.13,94.84
海康威视,94.29,95.48,92.25
大华股份,96.23,93.56,91.46
寒武纪,96.17,93.54,91.48
大疆创新,96.75,92.64,91.42
中科创达,95.85,91.29,93.65
中科曙光,96.11,93.55,90.98
北京君正,95.21,90.79,94.28
京东,96.42,93.48,90.04
华大基因,95.93,91.46,92.24
科大讯飞,96.87,91.29,91.46
瑞芯微电子,95.35,93.27,90.98
旷视科技,96.16,93.49,89.85
紫光股份,95.02,90.85,93.60
瑞为技术,96.88,92.27,90.08
亚信科技,93.76,93.97,91.35
联想,95.06,90.89,92.65
涂鸦智能,96.35,91.46,90.21
四维图新,95.76,91.85,90.21
芯原微电子,96.27,91.63,89.72
蔚来,93.26,93.91,90.44
小米,96.19,91.08,90.32
中兴通讯,96.77,90.74,90.05
神州医疗,94.73,91.85,90.32
浪潮,93.61,92.34,90.91
清华同方,93.81,92.44,90.53
全志科技,95.75,90.41,90.56
佳都科技,96.33,90.68,89.25
三六零,95.83,90.02,89.26
平安科技,95.35,89.98,89.41
网易,92.15,91.76,90.16
比亚迪,93.65,90.44,89.03
汉王科技,91.36,91.65,90.01
网宿科技,93.84,89.02,89.99
神州泰岳,95.03,89.24,87.87
理想,94.57,89.88,87.18
神思电子,91.37,90.86,89.01
擎朗智能,94.21,88.25,86.72
依图科技,94.29,87.69,86.73
Testin云测,90.35,87.86,86.29
图森未来,88.22,86.05,86.53
力维智联,87.60,87.21,85.19
特斯联,87.54,86.85,84.95
深兰科技,87.03,86.75,84.97
捷通华声,87.36,86.60,84.50
Momenta,86.73,86.15,84.18
蓝凌软件,86.38,86.22,83.89
云天励飞,85.27,86.08,85.07
明略科技,85.53,86.05,84.78
思必驰,84.37,85.76,84.50
Magic Data,84.30,86.04,84.28
第四范式,84.52,85.77,83.80
沃丰科技Udesk,84.01,85.89,83.71
微模式,84.37,85.39,82.59
森亿智能,83.72,85.37,81.69
云徙科技,84.17,85.08,80.43
Aibee爱笔智能,83.22,85.58,80.86
合合信息,83.72,85.05,79.73
燧原科技,82.91,85.09,79.76
追一科技,82.37,85.00,79.86
云知声,80.96,84.96,78.98
影谱科技,82.57,80.94,80.12
地平线机器人,81.34,80.15,81.00
智加科技,80.71,84.05,77.17
中译语通,81.02,84.29,76.33
达观数据,80.56,80.12,80.78
深之蓝,79.52,81.47,80.35
驭势科技,80.52,79.85,80.87
同盾科技,80.59,84.55,76.09
每日互动,80.21,80.52,80.23
思谋科技,79.57,80.76,80.10
普强时代,79.56,86.22,74.48
奥比中光,78.82,84.07,75.50
汇医慧影,77.85,84.88,75.52
华正信息,78.15,79.48,79.64
亿嘉和,80.74,76.80,79.23
肇观电子,80.34,75.38,80.48
碳云智能,78.60,78.38,78.84
大数医达,75.41,83.94,76.40
达闼科技,75.62,83.88,75.80
亿航智能,77.23,83.44,74.45
来也科技,75.53,83.79,75.71
声智科技,77.96,79.39,77.66
出门问问,78.58,77.53,78.78
普强信息,78.79,78.54,77.41
猎户星空,74.80,83.85,75.50
慧点科技,73.77,83.94,76.40
像素数据,73.94,83.54,76.40
国音智能,77.03,77.65,78.69
远鉴科技,74.35,83.78,75.20
声扬科技,74.78,78.31,78.62
驰声科技,77.74,77.46,76.17
川大智胜,77.58,75.89,77.09
阅面科技,78.04,74.66,76.44
声瀚科技,75.23,77.19,75.77
